seconds	heartbeat
1	71
2	79
3	94
4	79
5	71
6	91
7	81
8	98
9	75
10	91
11	80
12	75
13	71
"14	"	86
15	75
16	76
17	97
18	98
19	71
20	100
21	92
22	87
23	92
24	83
25	87
26	70
27	82
28	78
29	91
30	86
31	74
32	97
33	85
34	83
35	96
36	71
37	83
38	97
39	95
40	77
41	94
42	100
43	91
44	88
45	78
46	71
47	85
48	95
49	86
50	81
51	89
52	82
53	96
54	75
"55	"	72
56	98
57	98
58	71
59	82
60	72
61	90
62	70
63	95
64	80
65	82
66	80
67	79
68	97
69	74
70	78
71	100
72	78
73	96
74	86
75	85
76	90
77	87
78	86
79	75
"80	"	81
81	79
82	71
83	83
84	84
85	95
86	80
87	81
88	87
89	70
90	83
91	94
92	84
93	100
94	91
95	80
96	72
97	76
98	93
99	89
100	73
101	93
102	86
103	99
"104	"	83
105	100
106	84
107	91
108	81
109	92
110	99
111	79
112	92
113	86
114	96
115	93
116	75
117	91
118	89
119	77
120	79
121	94
"122	"	82
123	96
124	88
125	89
126	71
127	87
128	77
"129	"	87
130	96
131	100
132	100
133	81
134	72
135	90
136	71
137	94
138	90
139	79
140	71
141	97
142	91
143	96
144	96
145	75
146	71
147	79
148	77
149	94
150	94
151	92
152	86
153	100
154	75
155	92
156	93
157	90
158	72
159	78
160	86
161	86
162	73
163	92
164	83
165	91
166	83
167	94
168	72
169	78
170	80
"171	"	93
172	84
"173	"	99
174	98
175	85
176	89
177	79
178	73
179	96
180	90
181	96
182	97
183	99
184	79
185	82
186	75
187	95
188	78
189	77
190	99
191	89
192	89
193	77
194	70
195	98
196	71
197	94
198	80
199	89
"200	"	96
201	81
202	89
"203	"	89
204	99
205	88
206	80
207	98
208	90
209	71
"210	"	75
211	75
212	98
213	70
214	74
215	81
216	99
217	97
218	94
219	78
220	83
221	73
222	82
223	82
224	87
225	97
226	82
227	77
228	97
229	80
230	81
231	70
232	95
233	94
234	75
235	85
236	82
237	76
238	82
239	95
240	88
241	76
242	80
243	98
244	90
245	88
246	100
247	89
248	97
249	71
250	99
251	70
252	70
253	76
254	99
255	85
256	86
257	78
258	84
259	89
"260	"	89
261	90
262	86
263	82
264	71
265	83
266	75
267	78
268	78
269	90
270	71
271	100
272	71
273	93
274	89
275	84
276	81
277	88
278	95
279	91
280	84
281	75
282	76
283	73
284	77
285	89
286	84
287	87
288	96
289	82
"290	"	83
291	86
292	73
293	79
294	91
295	84
296	81
297	74
298	87
299	80
300	94
301	73
302	80
303	74
304	94
305	70
306	100
307	78
308	96
309	93
310	85
311	82
312	80
313	89
314	96
315	92
316	99
317	80
318	95
319	89
320	90
321	92
322	81
323	82
324	89
325	81
326	92
327	96
328	80
"329	"	84
330	73
"331	"	77
332	70
333	82
334	70
335	84
336	85
337	95
338	93
339	84
"340	"	89
341	83
342	94
343	86
344	95
345	98
346	79
347	88
348	95
349	96
350	87
351	93
352	76
353	79
354	74
355	100
356	98
357	96
358	87
359	89
360	88
361	96
362	78
363	79
364	86
365	85
366	74
367	95
368	91
369	100
370	84
371	74
372	93
"373	"	73
374	98
375	93
376	77
377	89
378	80
379	95
380	80
381	87
382	81
383	90
384	82
385	78
386	91
387	73
388	72
389	88
390	76
391	77
392	93
393	83
394	99
395	84
396	77
397	72
398	88
399	99
400	80
401	93
402	82
403	78
404	85
405	96
406	100
407	85
408	72
409	100
410	96
411	99
412	90
413	91
414	79
415	83
416	100
417	75
418	71
419	96
420	89
421	70
422	89
423	99
424	98
425	99
"426	"	73
427	73
428	82
429	83
430	100
"431	"	81
432	75
433	83
434	97
435	94
436	71
437	89
438	72
439	82
440	85
441	90
442	82
443	93
444	81
445	95
446	76
447	79
448	72
449	71
450	100
451	89
452	92
453	75
454	86
455	94
456	79
457	82
458	89
459	88
"460	"	94
461	87
462	76
463	89
464	91
465	78
466	95
467	79
468	93
469	99
470	74
471	81
472	72
473	73
474	95
475	95
476	74
477	81
478	75
479	78
480	76
481	90
482	87
483	83
484	96
485	100
486	70
487	72
488	93
489	83
490	70
491	80
492	91
493	75
494	80
495	82
496	77
497	95
498	84
499	97
500	94
501	100
502	74
503	88
504	76
505	74
506	72
507	82
508	79
509	96
510	77
511	71
512	94
513	89
514	95
515	76
516	85
"517	"	96
518	76
519	80
520	81
521	72
522	89
523	84
524	95
525	79
526	95
527	99
528	81
529	95
530	92
531	94
532	75
533	82
534	73
535	89
536	88
537	92
538	71
539	95
540	74
541	96
542	74
543	86
544	88
545	85
546	96
547	85
548	93
549	95
550	86
551	70
552	77
553	94
554	73
555	83
556	83
557	97
558	97
559	86
560	91
561	83
562	77
563	90
564	88
565	89
566	71
567	91
568	78
569	97
570	95
571	70
572	85
573	71
574	95
575	73
576	75
577	82
578	88
579	96
580	94
581	99
582	75
583	89
584	71
