Year,All races,White,Non-Hispanic White,Black,Asian,"Hispanic (of any race)"
2015,88.8,89.3,93.5,87.6,87.4,67.8
2014,88.9,89.6,93.7,86.2,87.4,67.9
2013,88.6,89.2,93.2,86.0,89.0,67.9
2012,88.0,88.5,92.7,85.5,87.6,66.0
2011,88.0,88.6,92.8,85.0,87.1,65.1
2010,87.6,88.2,92.3,84.6,87.0,64.4
2009,87.1,87.7,91.9,84.1,86.2,63.3
2008,87.2,87.8,91.8,84.0,86.9,63.7
2007,86.4,87.1,91.0,82.6,85.9,62.5
2006,85.9,86.7,90.8,81.2,85.5,60.1
2005,85.5,86.2,90.3,81.2,85.2,59.1
2004,85.4,86.3,90.1,80.8,85.0,59.5
2003,85.0,85.7,89.7,80.3,86.0,57.8
2002,84.4,85.2,88.9,78.9,(NA),57.9
2001,84.2,85.1,88.6,78.5,(NA),58.0
2000,84.0,85.0,88.4,78.3,(NA),57.5
1999,83.4,84.3,87.7,77.2,(NA),56.3
1998,82.9,83.8,87.1,76.7,(NA),55.3
1997,82.2,83.2,86.3,76.0,(NA),54.6
1996,81.6,82.8,85.9,74.2,(NA),53.3
1995,81.6,83.0,85.8,74.1,(NA),53.8
1994,80.7,81.9,84.7,73.8,(NA),53.2
1993,80.0,81.3,83.8,71.1,(NA),53.2
1992,79.2,80.7,(NA),68.2,(NA),51.5
1991,78.3,79.9,(NA),66.7,(NA),51.2
1990,77.5,79.0,(NA),66.5,(NA),51.3
1989,76.6,78.2,(NA),65.0,(NA),50.7
1988,76.0,77.6,(NA),63.4,(NA),50.0
1987,75.3,76.7,(NA),63.7,(NA),50.0
1986,74.4,75.9,(NA),63.0,(NA),47.8
1985,73.5,75.1,(NA),60.8,(NA),47.4
1984,73.0,74.6,(NA),59.7,(NA),45.7
1983,71.5,73.3,(NA),57.1,(NA),44.2
1982,70.3,72.3,(NA),54.3,(NA),44.1
1981,69.1,71.2,(NA),52.6,(NA),43.6
1980,68.1,70.1,(NA),51.3,(NA),44.1
1979,67.1,69.2,(NA),49.5,(NA),41.7
1978,65.2,67.2,(NA),47.3,(NA),39.6
1977,64.4,66.5,(NA),45.4,(NA),37.2
1976,63.5,65.5,(NA),45.0,(NA),37.3
1975,62.1,64.1,(NA),43.3,(NA),36.7
1974,60.9,63.0,(NA),41.5,(NA),34.9
1973,59.6,61.7,(NA),40.1,(NA),(NA)
1972,58.2,60.5,(NA),37.2,(NA),(NA)
1971,56.6,58.8,(NA),35.4,(NA),(NA)
1970,55.4,57.6,(NA),34.8,(NA),(NA)
1969,54.4,56.7,(NA),32.6,(NA),(NA)
1968,53.2,55.5,(NA),31.0,(NA),(NA)
1967,51.7,53.8,(NA),31.5,(NA),(NA)
1966,50.8,53.0,(NA),29.5,(NA),(NA)
1965,49.9,52.2,(NA),28.4,(NA),(NA)
1964,48.9,51.2,(NA),27.4,(NA),(NA)
1962,47.5,49.9,(NA),26.2,(NA),(NA)
1959,45.2,47.7,(NA),21.6,(NA),(NA)
1957,43.3,45.1,(NA),19.7,(NA),(NA)
1952,40.5,(NA),(NA),15.7,(NA),(NA)
1950,36.0,(NA),(NA),14.7,(NA),(NA)
1947,34.7,36.7,(NA),14.5,(NA),(NA)
1940,26.3,28.1,(NA),8.4,(NA),(NA)
