Theme_Id,Theme,Concept_Id,Concepts,Quote,Person,Person-Details,Context,My-Notes
2,Sanctuary for your spirit,1,Becoming self aware,I got to figure out who I was...I didn't have a clue to who I was. Addiction is a symptom of that bigger problem.,Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,On process and benefits of Alcoholics Anonymous,
2,Sanctuary for your spirit,2,Being completely seen,"You share everything about yourself with someone, clean the slate. And after that, you have nothing to hide. It's a great leveler. There's no reason to lie.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,On process and benefits of Alcoholics Anonymous,
2,Sanctuary for your spirit,3,Feeling safe & calm,"People walk through the door, and you can just watch them physically relax...phweeeef...I'm here...I'm safe.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,On process and benefits of Alcoholics Anonymous,
2,Sanctuary for your spirit,1,Becoming self aware,"At the root of alcoholism is a self-centered fear. You are extremely self conscious. For example, in a group, Bill would think about things like: oh, the three of them are better friends with each other than they are with me.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,On process and benefits of Alcoholics Anonymous,
3,Role modeling for how to live,4,Finding people who inspire you along your journey,"We are examples for each other. We identify, not to compare. Others are a guiding, motivating force for how to live life.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,On process and benefits of Alcoholics Anonymous,
3,Role modeling for how to live,4,Finding people who inspire you along your journey,"Seeing how others live their lives is a light bulb for your own. You realize that oh, there's someone else with the same thing. It prevents that sneaky chatting in your ear.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,On process and benefits of Alcoholics Anonymous,
4,Storage of an underlying history,5,Providing advise based on memories,"We have a saying called 'stinking thinking' -- If you see someone going off the rail, talk to them. It's when you hear someone and you notice that they're fooling themselves. The little brain does weird stuff. It tells me when I'm ok when I'm not.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,Alcoholics Anonymous,
4,Storage of an underlying history,6,Holding shared memories and experiences with others,"It's the community that knows exactly how I feel and what I'm talking about. There isn't anyone who we can't get on the same page as. If you watch the room, peoples heads will be nodding in a positive fashion--it shows they're identifying with what is being shared.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,Alcoholics Anonymous,
1,Solidarity through life,7,Receiving and accepting unbiased support,"Yale or jail, we don't give a rats ass. Whether you're 14 or 88, we don't care. If you ever go to an AA meeting or group, everyone is exactly the same. Basically no people left behind. No matter what people we get or how many people we have here, you’re ready for help and we row the boat together.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts,AA,
1,Solidarity through life,8,"Seeing, feeling, knowing you're not alone","If I had to approach it alone, I’d be doomed to failure...it's a 'we' program. In AA, we get to share our experience and strength and hope in one another.",Bill,Head of a Alcoholics Anonymous chapter in Massachusetts, AA,
